"","TICKER","CIK","CONAME"
"3006","COL",860730,"COLUMBIA HCA HEALTHCARE CORP"
"3009","COL",1137411,"ROCKWELL COLLINS INC"
"3012","COLC",21956,"COLORADO NATIONAL BANKSHARES INC"
"3013","COLM",1050797,"COLUMBIA SPORTSWEAR CO"
"3015","COMM",870764,"CELLULAR COMMUNICATIONS INC"
"3016","COMMA",870764,"CELLULAR COMMUN INC CL A"
"3018","COMR",835344,"COMAIR HOLDINGS INC"
"3020","COMS",738076,"3COM CORP"
"3027","COO",711404,"COOPER COS INC"
"3029","COO",711404,"THE COOPER COMPANIES INC"
"3030","COP",1163165,"CONOCOPHILLIPS"
"3032","COP",93859,"CONSOLIDATED PRODUCTS INC"
"3033","CORD",24654,"CORDIS CORP"
"3036","CORR",874865,"COR THERAPEUTICS INC"
"3039","CORS",51939,"CORUS BANKSHARES INC"
"3040","CORS",51939,"CORUS BANKSHARES"
"3041","COST",909832,"COSTCO WHOLESALE CORP"
"3043","COST",909832,"COSTCO COMPANIES INC"
"3047","COST",909832,"COSTCO WHOLESALE CORPORATION"
"3048","COT",201493,"COLTEC INDUSTRIES INC"
"3050","COV",73902,"COVANTA ENERGY CORP"
"3051","COX",25305,"COX COMMUNICATIONS INC NEW"
"3053","COX",25305,"COX COMMUNICATIONS INC"
"3055","CPB",16732,"CAMPBELL SOUP CO"
"3063","CPC",25350,"C P C INTERNATIONAL INC"
"3066","CPC",949298,"CENTRAL PARKING CORP"
"3070","CPDN",941553,"COMPDENT CORP"
"3071","CPER",23752,"CONSOLIDATED PAPERS INC"
"3073","CPF",701347,"CENTRAL PACIFIC FINANCIAL CORP"
"3074","CPG",911215,"CHELSEA PROPERTY GROUP INC"
"3075","CPH",813945,"PETERS J M INC"
"3077","CPL",1094093,"CAROLINA POWER & LIGHT CO"
"3082","CPLY",829987,"COPLEY PHARMACEUTICAL INC"
"3083","CPN",916457,"CALPINE CORP"
"3085","CPO",1046257,"CORN PRODUCTS INTERNATIONAL INC"
"3089","CPP",711404,"COOPER COS INC"
"3090","CPQ",714154,"COMPAQ COMPUTER CORP"
"3096","CPRD",23071,"COMPUTER PRODUCTS INC"
"3100","CPRO",878377,"CELLPRO INC"
"3101","CPRT",900075,"COPART INC"
"3104","CPS",1040596,"CHOICEPOINT INC"
"3109","CPT",906345,"CAMDEN PROPERTY TRUST"
"3111","CPTC",25360,"C P T CORP"
"3112","CPTH",1060801,"CRITICAL PATH INC"
"3113","CPU",880323,"COMPUSA INC"
"3116","CPWM",798955,"COST PLUS INC"
"3119","CPWR",859014,"COMPUWARE CORP"
"3124","CPY",25354,"C P I CORP"
"3129","CPY",25354,"CPI CORP"
"3132","CQ",22698,"COMMUNICATIONS SATELLITE CORP"
"3133","CQ",22698,"COMSAT CORP"
"3137","CQB",101063,"CHIQUITA BRANDS INTL INC"
"3142","CQB",101063,"CHIQUITA BRANDS INTERNATIONAL INC"
"3143","CQB",101063,"CHIQUITA BRANDS INTERNATIONAL"
"3144","CR",25445,"CRANE CO"
"3152","CRAY",949158,"CRAY INC"
"3153","CRCL",45674,"CIRCLE INTERNATIONAL INC"
"3155","CRDA",25475,"CRAWFORD & CO"
"3159","CRDB",25475,"CRAWFORD & CO"
"3161","CRDN",18937,"CERADYNE INC"
"3162","CRE",893577,"CARRAMERICA REALTY CORP"
"3164","CREE",895419,"CREE INC"
"3167","CRFC",101880,"CRESTAR FINANCIAL CORP"
"3169","CRGN",1030653,"CURAGEN CORP"
"3171","CRH",924174,"CORAM HEALTHCARE CORP"
"3172","CRI",91817,"CORE INDUSTRIES INC"
"3175","CRL",1100682,"CHARLES RIVER LABORATORIES INTERNATIONAL INC"
"3177","CRL",809222,"CROSSLAND SAVINGS FSB BROOKLYN"
"3178","CRP",910723,"CARSON PIRIE SCOTT & CO IL"
"3179","CRR",1009672,"CARBO CERAMICS INC"
"3181","CRR",897732,"CONSOLIDATED RAIL CORP"
"3182","CRR",897732,"CONRAIL INC"
"3184","CRS",17843,"CARPENTER TECHNOLOGY CORP"
"3192","CRTO",811640,"CONCERTO SOFTWARE INC"
"3193","CRUS",772406,"CIRRUS LOGIC INC"
"3199","CRWN",1103837,"CROWN MEDIA HOLDINGS"
"3200","CRX",25941,"C R S S INC"
"3201","CRX",25941,"CRSS INC"
"3202","CRY",784199,"CRYOLIFE INC"
"3204","CS",846909,"CABLETRON SYSTEMS INC"
"3208","CSA",841074,"COAST SAVINGS FINANCIAL INC"
"3212","CSAR",825692,"CARAUSTAR INDUSTRIES INC"
"3217","CSC",23082,"COMPUTER SCIENCES CORP"
"3224","CSC",23082,"COMPUTER SCIENCES CORPORATION"
"3225","CSCO",858877,"CISCO SYSTEMS INC"
"3232","CSE",922321,"CASE CORP"
"3234","CSFN",69952,"CORESTATES FINANCIAL CORP"
"3236","CSGS",1005757,"C S G SYSTEMS INTERNATIONAL INC"
"3238","CSGS",1005757,"CSG SYSTEMS INTERNATIONAL INC"
"3241","CSH",807884,"CASH AMERICA INTERNATIONAL INC"
"3242","CSK",19731,"CHESAPEAKE CORP VA"
"3247","CSK",19731,"CHESAPEAKE CORP"
"3250","CSL",790051,"CARLISLE COMPANIES"
"3255","CSL",790051,"CARLISLE COS INC"
"3257","CSL",790051,"CARLISLE COMPANIES INC"
"3258","CSN",716133,"CINCINNATI BELL INC"
"3263","CSR",18540,"CENTRAL & SOUTH WEST CORP"
"3267","CSR",18540,"CENTRAL AND SOUTH WEST CORP"
"3268","CSTF",1000366,"CORESTAFF INC"
"3269","CSTM",879360,"GLOBAL MOTORSPORT GROUP INC"
"3270","CSTR",941604,"COINSTAR INC"
"3272","CSV",824204,"COLUMBIA SVGS & LOAN ASSOC"
"3273","CSX",277948,"C S X CORP"
"3278","CSX",277948,"CSX CORP"
"3281","CTA",316647,"CONTINENTAL AIRLINES HOLDINGS INC"
"3282","CTAS",723254,"CINTAS CORP"
"3290","CTB",24491,"COOPER TIRE & RUBBER CO"
"3297","CTB",24491,"COOPER TIRE & RUBBER"
"3298","CTC",24188,"CONTEL CORP"
"3299","CTCO",310433,"COMMONWEALTH TELEPHONE ENTERPRISES INC"
"3302","CTCO",354431,"CROSS & TRECKER CORP"
"3303","CTEK",22470,"COMMERCIAL INTERTECH CORP"
"3304","CTG",23111,"COMPUTER TASK GROUP INC"
"3306","CTK",857323,"GTECH HOLDINGS CORP"
"3307","CTL",18926,"CENTURY TELEPHONE ENTRPRS INC"
"3312","CTL",18926,"CENTURYTEL INC"
"3315","CTLM",1107194,"CENTILLIUM COMMUNICATIONS INC"
"3316","CTME",727739,"CLOTHESTIME INC"
"3318","CTP",18675,"CENTRAL MAINE POWER CO"
"3322","CTP",1059259,"CMP GROUP INC"
"3323","CTR",18255,"CATO CORP"
"3324","CTR",18255,"THE CATO CORPORATION"
"3325","CTR",29806,"CONSTAR INTERNATIONAL INC"
"3326","CTS",26058,"C T S CORP"
"3330","CTS",26058,"CTS CORP"
"3334","CTSH",1058290,"COGNIZANT TECHNOLOGY SOLUTIONS CORP"
"3336","CTSI",1009677,"CARDIOTHORACIC SYSTEMS INC"
"3337","CTUS",350383,"CETUS CORP"
"3338","CTV",1035884,"COMMSCOPE INC"
"3343","CTX",18532,"CENTEX CORP"
"3351","CTXS",877890,"CITRIX SYSTEMS INC"
"3356","CTY",785080,"CENTURY COMMUNICATIONS CORP"
"3358","CTYA",785080,"CENTURY COMMUNICATIONS CORP"
"3361","CTYF",744765,"CITYFED FINANCIAL GROUP"
"3362","CTZ",1058575,"CHICAGO TITLE CORP"
"3363","CU",723612,"C U C INTERNATIONAL INC"
"3366","CUB",26076,"CUBIC CORP"
"3374","CUBE",919870,"C CUBE MICROSYSTEMS INC"
"3376","CUC",26093,"CULBRO CORP"
"3379","CUE",70047,"QUANTUM CHEMICAL CORPORATION"
"3381","CUI",1011147,"COACH USA INC"
"3382","CUL",945382,"CULLIGAN WATER TECHNOLOGIES INC"
"3383","CUM",26172,"CUMMINS ENGINE INC"
"3388","CUM",26172,"CUMMINS INC"
"3390","CUNO",1019779,"CUNO INC"
"3392","CURE",1238631,"CURATIVE HEALTH SERVICES INC"
"3396","CUST",855612,"CUSTOMTRACKS CORP"
"3397","CUZ",25232,"COUSINS PROPERTIES INC"
"3398","CUZ",25232,"COUSINS PROPERTIES"
"3399","CV",18808,"CENTRAL VERMONT PUB SVC CORP"
"3404","CV",18808,"CENTRAL VERMONT PUBLIC SERVICE CORP"
"3406","CV",18808,"CENTRAL VERMONT PUBLIC SERVICE"
"3407","CVBF",354647,"CVB FINANCIAL CORP"
"3409","CVC",1053112,"CABLEVISION SYSTEMS CORP"
"3417","CVD",1023131,"COVANCE INC"
"3422","CVG",1062047,"CONVERGYS CORP"
"3425","CVH",1054833,"COVENTRY HEALTH CARE CORP"
"3427","CVH",1054833,"COVENTRY HEALTH CARE INC"
"3428","CVN",857167,"C & S SOVRAN CORP"
"3429","CVS",64803,"C V S CORP"
"3431","CVS",64803,"CVS CORP"
"3433","CVS",64803,"CVS CORPORATION"
"3434","CVTX",921506,"CV THERAPEUTICS INC"
"3435","CVTY",1054833,"COVENTRY CORP"
"3437","CVX",93410,"CHEVRONTEXACO CORP"
"3439","CVX",93410,"CHEVRON CORP"
"3440","CW",26324,"CURTISS WRIGHT CORP"
"3444","CWE",918040,"COMMONWEALTH EDISON CO"
"3446","CX",774197,"CENTERIOR ENERGY CORP"
"3449","CXC",739404,"CORRECTIONS CORP AMERICA"
"3450","CXP",918646,"CENTEX CONSTRUCTION PRODUCTS INC"
"3453","CXR",1018522,"COX RADIO INC"
"3457","CXR",1018522,"COX RADIO"
"3458","CXW",1070985,"CORRECTIONS CORPORATION OF AMERICA"
"3459","CY",791915,"CYPRESS SEMICONDUCTOR CORP"
"3467","CYBX",864683,"CYBERONICS INC"
"3468","CYC",202646,"CYCLOPS INDUSTRIES INC"
"3469","CYCL",879573,"CENTENNIAL CELLULAR CORP"
"3470","CYCL",879573,"CENTENNIAL COMMUNICATIONS CORP"
"3472","CYGN",870755,"CYGNUS INC"
"3475","CYH",1108109,"COMMUNITY HEALTH SYSTEMS INC"
"3478","CYM",769589,"CYPRUS MINERALS CO"
"3480","CYM",769589,"CYPRUS AMAX MINERALS CO"
"3483","CYMI",897067,"CYMER INC"
"3486","CYN",201461,"CITY NATIONAL CORP"
"3494","CYR",25506,"CRAY RESEARCH INC"
"3497","CYRK",864264,"CYRK INC"
"3499","CYT",23413,"CITYTRUST BANCORP INC"
"3500","CYT",912513,"CYTEC INDUSTRIES INC"
"3506","CYTC",849778,"CYTYC CORP"
"3509","CZM",23533,"CALMAT CO"
"3513","CZN",20520,"CITIZENS UTILITIES CO"
"3514","CZN",20520,"CITIZENS COMMUNICATIONS CO"
"3517","CZNA",20520,"CITIZENS UTILITIES CO DEL"
"3520","CZR",1070794,"CAESARS ENTERTAINMENT INC"
"3521","CZT",1058083,"COGNIZANT CORP"
"3522","D",715957,"DOMINION RESOURCES INC VA"
"3527","D",715957,"DOMINION RESOURCES INC"
"3530","DADE",1183920,"DADE BEHRING HLDGS INC"
"3531","DAKT",915779,"DAKTRONICS INC"
"3532","DAL",27904,"DELTA AIR LINES INC"
"3539","DAN",26821,"DANIEL INDUSTRIES INC"
"3543","DAP",889409,"DISCOUNT AUTO PARTS INC"
"3545","DAPN",215619,"DAUPHIN DEPOSIT CORP"
"3548","DAVX",811640,"DAVOX CORP"
"3549","DAZX",811028,"DAISY SYSTEMS CORP"
"3550","DBD",28823,"DIEBOLD INC"
"3558","DBRL",939930,"DIBRELL BROTHERS INC"
"3560","DBRN",717724,"DRESS BARN INC"
"3567","DBRN",717724,"THE DRESS BARN INC"
"3568","DCA",712744,"DIGITAL COMMUNICATIONS ASSOC INC"
"3570","DCEL",1035985,"DOBSON COMMUNICATIONS CORP"
"3571","DCEL",1035985,"DOBSON COMMUNICATION CORPORATION"
"3572","DCI",29644,"DONALDSON INC"
"3577","DCI",29644,"DONALDSON CO INC"
"3579","DCI",29644,"DONALDSON COMPANY INC"
"3580","DCLK",1049480,"DOUBLECLICK INC"
"3582","DCLK",1049480,"DOUBLECLICK"
"3583","DCN",26780,"DANA CORP"
"3591","DCOM",1005409,"DIME COMMUNITY BANCSHARES"
"3593","DCOM",1005409,"DIME COMMUNITY BANCSHARES INC"
"3594","DCTM",930885,"DOCUMENTUM INC"
"3597","DCY",718448,"D C N Y CORP"
"3598","DCY",718448,"DISCOUNT CORP OF NEW YORK"
"3599","DD",30554,"DU PONT E I DE NEMOURS & CO"
"3604","DD",30554,"EI DUPONT DE NEMOURS AND CO"
"3605","DD",30554,"E I DUPONT DE NEMOURS AND CO"
"3606","DD",30554,"DU PONT E I DE NEMOURS"
"3607","DDC",910058,"DETROIT DIESEL CORP"
"3610","DDIC",1104252,"DDI CORP"
"3611","DDL",26987,"DATA DESIGN LABS INC"
"3613","DDL",26987,"D D L ELECTRONICS INC"
"3615","DDR",894315,"DEVELOPERS DIVERSIFIED REALTY CORP"
"3617","DDS",28917,"DILLARD DEPARTMENT STORES INC"
"3620","DDS",28917,"DILLARDS INC"
"3622","DDS",28917,"DILLARD'S INC"
"3625","DE",315189,"DEERE & CO"
"3633","DEBS",715779,"DEB SHOPS INC"
"3636","DEC",28887,"DIGITAL EQUIPMENT CORP"
"3640","DEI",703300,"DIVERSIFIED ENERGIES INC DE"
"3641","DEL",1022469,"DELTIC TIMBER CORP"
"3644","DELL",826083,"DELL COMPUTER CORP"
"3649","DELL",826083,"DELL INC"
"3651","DEP",28209,"DEPOSIT GUARANTY CORP"
"3652","DEPS",28209,"DEPOSIT GUARANTY CORP"
"3655","DESI",813298,"DESIGNS INC"
"3657","DEW",1029590,"DELMARVA POWER & LIGHT CO"
"3661","DEX",28582,"DEXTER CORP"
"3666","DF",27500,"DEAN FOODS CO"
"3671","DF",931336,"DEAN FOODS CO"
"3673","DF",931336,"DEAN FOODS COMPANY"
"3674","DFF",943563,"DOMINICKS SUPERMARKETS INC"
"3675","DFG",859139,"DELPHI FINANCIAL GROUP INC"
"3678","DFG",859139,"DELPHI FINANCIAL GROUP"
"3679","DFI",820756,"DUTY FREE INTERNATIONAL INC"
"3680","DFS",902270,"DEPARTMENT 56 INC"
"3683","DFXI",1078207,"DIRECT FOCUS INC"
"3684","DG",29534,"DOLLAR GENERAL CORP"
"3690","DGII",854775,"DIGI INTERNATIONAL INC"
"3695","DGIN",1037275,"DIGITAL INSIGHT CORP"
"3696","DGN",26999,"DATA GENERAL CORP"
"3701","DGX",1022079,"QUEST DIAGNOSTICS INC"
"3705","DGX",1022079,"QUEST DIAGNOSTICS INCORPORATED"
"3706","DH",27419,"DAYTON HUDSON CORP"
"3711","DHI",882184,"DR HORTON INC"
"3713","DHI",882184,"D R HORTON INC"
"3715","DHR",313616,"DANAHER CORP"
"3723","DI",30099,"DRESSER INDUSTRIES INC"
"3727","DIA",317814,"DIASONICS INC"
"3729","DIGE",1011582,"DIGENE CORP"
"3730","DIGI",316004,"D S C COMMUNICATIONS CORP"
"3734","DIGX",1085098,"DIGEX INC"
"3735","DIS",1001039,"DISNEY WALT CO"
"3740","DIS",1001039,"WALT DISNEY CO"
"3742","DIS",1001039,"THE WALT DISNEY COMPANY"
"3743","DISH",1001082,"ECHOSTAR COMMUNICATIONS CORP"
"3746","DITC",1080667,"DITECH COMMUNICATIONS CORP"
"3748","DJ",29924,"DOW JONES & CO INC"
"3756","DJO",1157972,"DJ ORTHOPEDICS INC"
"3757","DKB",835015,"DEKALB GENETICS CORP"
"3758","DKS",1089063,"DICKS SPORTING GOODS INC"
"3759","DL",1016179,"DIAL CORP NEW"
"3761","DL",1016179,"DIAL CORP"
"3763","DL",884219,"DIAL CORP DEL"
"3765","DLGC",899042,"DIALOGIC CORP"
"3767","DLJ",29646,"DONALDSON LUFKIN & JEN INC NEW"
"3769","DLM",866873,"DEL MONTE FOODS CO"
"3770","DLP",902277,"DELTA & PINE LAND CO"
"3772","DLP",902277,"DELTA AND PINE LAND CO"
"3774","DLP",902277,"DELTA & PINE LAND COMPANY"
"3775","DLTR",935703,"DOLLAR TREE STORES INC"
"3780","DLW",806624,"DELTA WOODSIDE INDS INC NEW"
"3785","DLW",806624,"DELTA WOODSIDE INDUSTRIES INC"
"3786","DLX",27996,"DELUXE CORP"
"3794","DM",878549,"DAMES & MOORE GROUP"
"3795","DMBK",29587,"DOMINION BANKSHARES CORP"
"3796","DME",919568,"DIME SAVINGS BANK NY FSB"
"3798","DME",919568,"DIME BANCORP INC NEW"
"3801","DME",919568,"DIME BANCORP INC"
"3802","DMIC",812703,"DIGITAL MICROWAVE CORP"
"3804","DMN",939930,"DIMON INC"
"3809","DMRK",883324,"DAMARK INTERNATIONAL INC"
"3811","DNA",318771,"GENENTECH INC"
"3814","DNB",1115222,"DUN & BRADSTREET CORP"
"3816","DNB",1115222,"THE DUN & BRADSTREET CORP"
"3817","DNB",1059556,"DUN & BRADSTREET CORP"
"3822","DNEX",708850,"DIONEX CORP"
"3830","DNR",945764,"DENBURY RESOURCES INC"
"3831","DNY",29669,"DONNELLEY R R & SONS CO"
"3836","DNY",29669,"RR DONNELLEY & SONS CO"
"3837","DNY",29669,"R R DONNELLEY & SONS CO"
"3838","DO",949039,"DIAMOND OFFSHORE DRILLING INC"
"3843","DOL",18169,"DOLE FOOD INC"
"3847","DOL",18169,"DOLE FOOD CO INC"
"3848","DOLR",29534,"DOLLAR GENERAL CORP"
"3850","DOSK",938348,"DOSKOCIL COMPANIES INC"
"3851","DOV",29905,"DOVER CORP"
"3859","DOW",29915,"DOW CHEMICAL CO"
"3866","DOW",29915,"THE DOW CHEMICAL COMPANY"
"3867","DP",702259,"DIAGNOSTIC PRODUCTS CORP"
"3874","DPH",1072342,"DELPHI AUTOMOTIVE SYSTEMS CORP"
"3875","DPH",1072342,"DELPHI CORP"
"3877","DPL",787250,"D P L INC"
"3882","DPL",787250,"DPL INC"
"3885","DPMI",1012128,"DUPONT PHOTOMASKS INC"
"3887","DPT",205239,"DATAPOINT CORP"
"3890","DPU",1019900,"DEPUY INC"
"3891","DPX",30547,"DUPLEX PRODUCTS INC"
"3893","DQE",846930,"D Q E"
"3898","DQE",846930,"DQE INC"
"3900","DQE",846930,"DUQUESNE LIGHT HOLDINGS INC"
"3901","DRC",50916,"DAIN RAUSCHER CORP"
"3903","DRD",895364,"DUANE READE INC"
"3905","DRE",783280,"DUKE REALTY CORP"
"3906","DRE",783280,"DUKE REALTY CORPORATION"
"3907","DRI",940944,"DARDEN RESTAURANTS INC"
"3912","DRIV",1062530,"DIGITAL RIVER INC"
"3913","DRL",840889,"DORAL FINANCIAL CORP"
"3915","DRM",810316,"DIAMOND SHAMROCK INC"
"3918","DRQ",1042893,"DRIL QUIP INC"
"3921","DRS",28630,"DRS TECHNOLOGIES INC"
"3923","DRTE",880321,"DENDRITE INTERNATIONAL INC"
"3926","DRV",30067,"DRAVO CORP"
"3930","DRY",30163,"DREYFUS CORP"
"3932","DRYR",1189712,"DREYERS GRAND ICE CREAM INC"
"3936","DRYR",1189712,"DREYER'S GRAND ICE CREAM INC"
"3937","DRYR",1189712,"DREYER'S GRAND ICE CREAM HOLDINGS INC"
"3938","DS",749420,"DALLAS SEMICONDUCTOR CORP"
"3942","DSCP",27096,"DATASCOPE CORP"
"3949","DSL",935063,"DOWNEY SAVINGS & LOAN ASSN"
"3951","DSL",935063,"DOWNEY FINANCIAL CORP"
"3957","DSN",28117,"DENNISON MANUFACTURING CO"
"3958","DSO",28345,"DE SOTO INC"
"3960","DSP",934545,"D S P COMMUNICATIONS INC"
"3962","DSPG",915778,"DSP GROUP INC"
"3965","DSS",709283,"QUANTUM CORP"
"3969","DST",714603,"D S T SYSTEMS INC DEL"
"3971","DST",714603,"DST SYSTEMS INC"
"3974","DSTS",714603,"DST SYSTEMS INC"
"3975","DTE",936340,"DETROIT EDISON CO"
"3978","DTE",936340,"D T E ENERGY CO"
"3980","DTE",936340,"DTE ENERGY CO"
"3983","DTII",918999,"D T INDUSTRIES INC"
"3985","DTII",918999,"DT INDUSTRIES INC"
"3986","DTL",906611,"DAL TILE INTERNATIONAL INC"
"3987","DUCO",316444,"DURHAM CORP"
"3988","DUFM",30645,"DURR FILLAUER MEDICAL"
"3989","DUK",30371,"DUKE POWER CO"
"3992","DUK",30371,"DUKE ENERGY CORP"
"3997","DUR",873482,"DURACELL INTERNATIONAL INC"
"3998","DURA",882098,"DURA PHARMACEUTICALS INC"
"4000","DURI",30625,"DURIRON INC"
"4003","DV",730464,"DEVRY INC DEL"
"4005","DV",730464,"DEVRY INC"
"4008","DVA",927066,"DAVITA INC"
"4011","DVN",1090012,"DEVON ENERGY CORP"
"4016","DWD",895421,"DEAN WITTER DISCOVER & CO"
"4017","DXYN",29332,"DIXIE YARNS INC"
"4020","DXYN",29332,"DIXIE GROUP INC"
"4023","DY",67215,"DYCOM INDUSTRIES INC"
"4026","DYA",30819,"DYNAMICS CORP AMER"
"4030","DYN",879215,"DYNEGY CORP"
"4032","DYN",879215,"DYNEGY INC"
"4033","DYT",30841,"DYNATECH CORP"
"4034","DYTC",30841,"DYNATECH CORP"
"4037","DZA",37912,"DELHAIZE AMERICA INC"
"4038","E",99231,"TRANSCO ENERGY CO"
"4040","EAC",1125057,"ENCORE ACQUISITION COMPANY"
"4041","EAGL",1001718,"EGL INC"
"4044","EAGL",883683,"EAGLE HARDWARE & GARDEN INC"
"4046","EAII",1005270,"ENGINEERING ANIMATION INC"
"4047","EAS",1046861,"ENERGY EAST CORP"
"4049","EAS",1046861,"ENERGY EAST CORPORATION"
"4050","EASI",772891,"ENGINEERED SUPPORT SYSTEMS INC"
"4052","EAT",703351,"BRINKER INTERNATIONAL INC"
"4059","EBAY",1065088,"EBAY INC"
"4062","EBF",33002,"ENNIS BUSINESS FORMS INC"
"4069","EBS",31575,"EDISON BROTHERS STORES INC"
"4072","EC",352947,"ENGELHARD CORP"
"4080","ECC",31660,"E C C INTERNATIONAL CORP"
"4083","ECH",31348,"ECHLIN INC"
"4087","ECL",31462,"ECOLAB INC"
"4095","ECLP",1034088,"ECLIPSYS CORP"
"4096","ECP",854094,"CENTRAL NEWSPAPERS INC"
"4098","ED",1047862,"CONSOLIDATED EDISON CO NY INC"
"4101","ED",1047862,"CONSOLIDATED EDISON INC"
"4106","EDE",32689,"EMPIRE DISTRICT ELEC CO"
"4111","EDE",32689,"EMPIRE DISTRICT ELECTRIC CO"
"4113","EDGW",1017968,"EDGEWATER TECHNOLOGY INC"
"4114","EDMC",880059,"EDUCATION MANAGEMENT CORP"
"4119","EDO",31617,"EDO CORP"
"4124","EDS",1007456,"ELECTRONIC DATA SYSTEMS CORP"
"4129","EDSE",828941,"E S E L C O INC"
"4131","EE",31978,"EL PASO ELECTRIC CO"
"4134","EEX",1023060,"EEX CORP"
"4136","EFD",1109190,"EFUNDS CORPORATION"
"4137","EFDS",1109190,"EFUNDS CORP"
"4138","EFII",867374,"ELECTRONICS FOR IMAGING INC"
"4144","EFS",881889,"ENHANCE FINANCIAL SERVICES GROUP"
"4146","EFU",311259,"EASTERN ENTERPRISES"
"4151","EFX",33185,"EQUIFAX INC"
"4159","EGG",31791,"E G & G INC"
"4164","EGLS",902281,"ELECTROGLAS INC"
"4167","EGN",277595,"ENERGEN CORP"
"4175","EGP",49600,"EASTGROUP PROPERTIES INC"
"4176","EGR",1004985,"EARTHGRAINS CO"
"4179","EGRP",1015780,"E TRADE GROUP INC"
"4180","EIC",225300,"EQUITABLE OF IOWA COMPANIES"
"4181","EIX",827052,"EDISON INTERNATIONAL"
"4183","EIX",827052,"EDISON INTERNATIONAL INC"
"4186","EK",31235,"EASTMAN KODAK CO"
"4194","EKO",18827,"EKCO GROUP INC"
"4199","EL",1001250,"LAUDER ESTEE COS INC"
"4201","EL",1001250,"ESTEE LAUDER COS INC"
"4203","EL",1001250,"THE ESTEE LAUDER COMPANIES INC"
"4204","ELAB",1168061,"EON LABS INC"
"4205","ELBO",1057746,"ELECTRONICS BOUTIQUE HOLDINGS CORP"
"4206","ELK",32017,"ELCOR CORP"
"4207","ELK",32017,"ELKCORP"
"4209","ELNK",1102541,"EARTHLINK INC"
"4212","ELNT",949872,"ELANTEC SEMICONDUCTOR INC"
"4213","ELON",31347,"ECHELON CORP"
"4214","ELOY",1094348,"ELOYALTY CORP"
"4215","ELPA",31978,"EL PASO ELECTRIC CO"
"4216","ELS",895417,"EQUITY LIFESTYLE PROPERTIES INC"
"4217","ELX",350917,"EMULEX CORP"
"4219","ELY",837465,"CALLAWAY GOLF CO"
"4224","EMC",790070,"E M C CORP MA"
"4229","EMC",790070,"EMC CORP"
"4232","EME",105634,"EMCOR GROUP INC"
"4234","EMKR",808326,"EMCORE CORP"
"4235","EMLX",350917,"EMULEX CORP"
"4239","EMMS",783005,"EMMIS COMMUNICATIONS CORP"
"4242","EMN",915389,"EASTMAN CHEMICAL CO"
"4248","EMR",32604,"EMERSON ELECTRIC CO"
"4256","EN",353181,"ENTERRA CORP"
"4258","ENA",940170,"ENOVA CORP"
"4259","ENC",93542,"ENSECO GROUP INC"
"4260","ENC",93542,"ENESCO GROUP INC"
"4263","ENCD",913599,"E N C A D INC"
"4265","ENDP",1100962,"ENDO PHARMACEUTICALS HOLDINGS INC"
"4267","ENE",1024401,"ENRON CORP"
"4272","ENR",1096752,"ENERGIZER HOLDINGS INC"
"4275","ENRGB",111001,"DEKALB ENERGY CO"
"4277","ENS",33015,"ENSERCH CORP"
"4280","ENSO",106752,"ENVIROSOURCE INC"
"4283","ENST",55820,"ENSTAR GROUP INC"
"4284","ENTG",1101302,"ENTEGRIS INC"
"4285","ENTU",1031283,"ENTRUST INC"
"4287","ENVY",932277,"ENVOY CORP NEW"
"4288","ENZ",316253,"ENZO BIOCHEM INC"
"4293","ENZN",727510,"ENZON INC"
"4294","ENZN",727510,"ENZON PHARMACEUTICALS INC"
"4295","EOG",821189,"ENRON OIL & GAS CO"
"4297","EOG",821189,"EOG RESOURCES INC"
"4300","EOP",1038339,"EQUITY OFFICE PROPERTIES TRUST"
"4303","EP",1066107,"EL PASO CORP"
"4306","EPG",1066107,"EL PASO NATURAL GAS CO"
"4308","EPG",1066107,"EL PASO ENERGY CORP"
"4309","EPI",30927,"EAGLE PICHER INDS INC"
"4310","EPIC",891178,"EPICOR SOFTWARE CORP"
"4312","EPIQ",1027207,"EPIQ SYSTEMS INC"
"4314","EPNY",1089613,"EPIPHANY INC"
"4316","EPR",1045450,"ENTERTAINMENT PROPERTIES TRUST"
"4317","EPRE",888711,"EPRESENCE INC"
"4319","EQ",888002,"EQUITABLE COS INC"
"4322","EQIC",225300,"EQUITABLE OF IOWA COMPANIES"
"4323","EQICB",225300,"EQUITABLE OF IOWA COMPANIES"
"4324","EQK",33189,"EQUIMARK CORP"
"4325","EQR",906107,"EQUITY RESIDENTIAL PROPERTIES TRUST"
"4326","EQR",906107,"EQUITY RESIDENTIAL"
"4328","EQT",33213,"EQUITABLE RESOURCES INC"
"4336","EQY",1042810,"EQUITY ONE INC"
"4337","ER",914069,"EXECUTIVE RISK INC"
"4339","ERES",1026650,"ERESEARCH TECHNOLOGY INC"
"4340","ERIE",922621,"ERIE INDEMNITY CO"
"4344","ERTS",712515,"ELECTRONIC ARTS INC"
"4350","ESA",1002579,"EXTENDED STAY AMERICA INC"
"4354","ESC",774709,"ENVIRONMENTAL SYSTEMS CO"
"4355","ESCC",276283,"EVANS & SUTHERLAND COMPUTER CORP"
"4361","ESE",866706,"E S C O ELECTRONICS CORP"
"4363","ESI",922475,"ITT EDUCATIONAL SERVICES INC"
"4365","ESIO",726514,"ELECTRO SCIENTIFIC INDUSTRIES INC"
"4369","ESL",33619,"ESTERLINE TECHNOLOGIES CORP"
